Currency,Date,Close,Open,High,Low
LTC,30-11-20,79.18816759,72.78571513,81.11429809,71.64806628
LTC,01-12-20,86.9197492,78.98655882,88.44843407,76.78878193
LTC,02-12-20,87.45939119,87.61794932,93.02784398,79.83314863
LTC,03-12-20,88.93447234,85.21883088,90.66129667,82.9033998
LTC,04-12-20,88.49570622,88.9779325,91.34078879,85.57164923
LTC,05-12-20,80.98206776,89.08159658,89.88721292,80.65873713
LTC,06-12-20,82.09648756,79.59712605,84.36510354,78.73328563
LTC,07-12-20,82.04223225,83.19710635,85.19731701,80.95899326
LTC,08-12-20,83.33930394,83.6246136,86.88107852,82.11292804
LTC,09-12-20,77.43733154,83.42082517,84.82799065,76.80142021
LTC,10-12-20,77.46398298,76.73080124,78.1675035,72.15389988
LTC,11-12-20,75.29522437,77.4688293,77.67371885,73.10598046
LTC,12-12-20,73.2491623,74.72352887,75.0671535,69.98249333
LTC,13-12-20,77.2654376,72.21486754,77.62409995,72.06544176
LTC,14-12-20,81.59653844,76.71317787,84.27844963,75.61726443
LTC,15-12-20,82.06275556,82.20381681,82.92904051,79.10369841
LTC,16-12-20,81.66173323,82.32422444,84.88047341,80.4569303
LTC,17-12-20,92.11771763,81.34432281,92.87570153,78.79529964
LTC,18-12-20,103.2842991,93.01996011,109.7505469,90.64274109
LTC,19-12-20,107.6881661,101.093043,112.7458109,99.31503387
LTC,20-12-20,121.6544497,109.4320731,124.2487699,105.4513563
LTC,21-12-20,114.6801235,119.8997904,123.1367145,109.8550824
LTC,22-12-20,107.2477887,114.6138073,118.469766,100.458705
LTC,23-12-20,108.7575293,104.4664467,113.1912126,98.39427617
LTC,24-12-20,103.3558168,114.2409581,117.034196,95.42554477
LTC,25-12-20,108.7117631,102.418139,109.5678653,99.15582416
LTC,26-12-20,123.8290072,111.1969851,124.9746577,108.2878159
LTC,27-12-20,129.6019595,127.7222319,134.9278666,124.9715742
LTC,28-12-20,127.1882639,129.4217355,139.2365017,121.7808138
LTC,29-12-20,129.2579181,127.5605283,137.0096886,126.2147064
LTC,30-12-20,126.3061852,129.657146,130.6168014,120.0671119
LTC,31-12-20,128.2615636,128.634063,132.7486555,122.8696645
